#    L    TT             EE             BB             TE          
    30   0.105964E+04   0.216072E-01   0.289871E-03   0.189600E+01
    31   0.107587E+04   0.241790E-01   0.309420E-03   0.191834E+01
    32   0.109237E+04   0.269676E-01   0.329621E-03   0.193374E+01
    33   0.110912E+04   0.299760E-01   0.350473E-03   0.194234E+01
    34   0.112609E+04   0.332105E-01   0.371978E-03   0.194341E+01
    35   0.114329E+04   0.366793E-01   0.394136E-03   0.193719E+01
    36   0.116063E+04   0.403822E-01   0.416948E-03   0.192363E+01
    37   0.117810E+04   0.443177E-01   0.440414E-03   0.190126E+01
    38   0.119582E+04   0.484890E-01   0.464535E-03   0.186808E+01
    39   0.121377E+04   0.529042E-01   0.489310E-03   0.182331E+01
    40   0.123194E+04   0.575721E-01   0.514741E-03   0.176647E+01
    41   0.125026E+04   0.625012E-01   0.540826E-03   0.169734E+01
    42   0.126874E+04   0.676963E-01   0.567567E-03   0.161669E+01
    43   0.128738E+04   0.731613E-01   0.594963E-03   0.152511E+01
    44   0.130621E+04   0.788999E-01   0.623013E-03   0.142185E+01
    45   0.132528E+04   0.849210E-01   0.651719E-03   0.130686E+01
    46   0.134452E+04   0.912313E-01   0.681079E-03   0.118083E+01
    47   0.136387E+04   0.978328E-01   0.711093E-03   0.104424E+01
    48   0.138333E+04   0.104721E+00   0.741762E-03   0.896198E+00
    49   0.140298E+04   0.111891E+00   0.773084E-03   0.735545E+00
    50   0.142293E+04   0.119349E+00   0.805059E-03   0.561314E+00
    51   0.144316E+04   0.127099E+00   0.837687E-03   0.373033E+00
    52   0.146358E+04   0.135141E+00   0.870968E-03   0.171065E+00
    53   0.148408E+04   0.143473E+00   0.904901E-03  -0.440977E-01
    54   0.150469E+04   0.152096E+00   0.939485E-03  -0.272241E+00
    55   0.152544E+04   0.161011E+00   0.974720E-03  -0.513378E+00
    56   0.154647E+04   0.170215E+00   0.101061E-02  -0.768050E+00
    57   0.156784E+04   0.179708E+00   0.104714E-02  -0.103637E+01
    58   0.158942E+04   0.189497E+00   0.108433E-02  -0.131767E+01
    59   0.161109E+04   0.199585E+00   0.112216E-02  -0.161132E+01
    60   0.163289E+04   0.209961E+00   0.116065E-02  -0.191768E+01
    61   0.165494E+04   0.220612E+00   0.119978E-02  -0.223737E+01
    62   0.167727E+04   0.231526E+00   0.123956E-02  -0.257095E+01
    63   0.169984E+04   0.242708E+00   0.127999E-02  -0.291817E+01
    64   0.172259E+04   0.254163E+00   0.132107E-02  -0.327859E+01
    65   0.174546E+04   0.265895E+00   0.136279E-02  -0.365186E+01
    66   0.176850E+04   0.277890E+00   0.140516E-02  -0.403798E+01
    67   0.179179E+04   0.290133E+00   0.144818E-02  -0.443704E+01
    68   0.181539E+04   0.302608E+00   0.149184E-02  -0.484904E+01
    69   0.183928E+04   0.315312E+00   0.153616E-02  -0.527364E+01
    70   0.186345E+04   0.328242E+00   0.158112E-02  -0.571061E+01
    71   0.188789E+04   0.341397E+00   0.162673E-02  -0.615984E+01
    72   0.191263E+04   0.354776E+00   0.167298E-02  -0.662161E+01
    73   0.193769E+04   0.368372E+00   0.171989E-02  -0.709607E+01
    74   0.196299E+04   0.382174E+00   0.176745E-02  -0.758229E+01
    75   0.198842E+04   0.396172E+00   0.181565E-02  -0.807903E+01
    76   0.201388E+04   0.410351E+00   0.186451E-02  -0.858520E+01
    77   0.203932E+04   0.424700E+00   0.191402E-02  -0.909988E+01
    78   0.206480E+04   0.439206E+00   0.196418E-02  -0.962338E+01
    79   0.209046E+04   0.453858E+00   0.201499E-02  -0.101563E+02
    80   0.211641E+04   0.468644E+00   0.206647E-02  -0.106995E+02
    81   0.214276E+04   0.483553E+00   0.211859E-02  -0.112533E+02
    82   0.216951E+04   0.498573E+00   0.217138E-02  -0.118172E+02
    83   0.219661E+04   0.513693E+00   0.222483E-02  -0.123908E+02
    84   0.222403E+04   0.528900E+00   0.227893E-02  -0.129732E+02
    85   0.225173E+04   0.544183E+00   0.233371E-02  -0.135640E+02
    86   0.227970E+04   0.559531E+00   0.238915E-02  -0.141625E+02
    87   0.230788E+04   0.574932E+00   0.244525E-02  -0.147681E+02
    88   0.233625E+04   0.590374E+00   0.250203E-02  -0.153802E+02
    89   0.236482E+04   0.605843E+00   0.255948E-02  -0.159983E+02
    90   0.239357E+04   0.621324E+00   0.261761E-02  -0.166220E+02
    91   0.242252E+04   0.636804E+00   0.267642E-02  -0.172509E+02
    92   0.245166E+04   0.652267E+00   0.273591E-02  -0.178846E+02
    93   0.248101E+04   0.667700E+00   0.279608E-02  -0.185227E+02
    94   0.251055E+04   0.683090E+00   0.285695E-02  -0.191650E+02
    95   0.254032E+04   0.698422E+00   0.291850E-02  -0.198109E+02
    96   0.257030E+04   0.713682E+00   0.298076E-02  -0.204600E+02
    97   0.260050E+04   0.728856E+00   0.304371E-02  -0.211119E+02
    98   0.263091E+04   0.743929E+00   0.310736E-02  -0.217661E+02
    99   0.266153E+04   0.758886E+00   0.317173E-02  -0.224221E+02
   100   0.269237E+04   0.773717E+00   0.323680E-02  -0.230794E+02
   101   0.272342E+04   0.788406E+00   0.330259E-02  -0.237374E+02
   102   0.275469E+04   0.802932E+00   0.336910E-02  -0.243960E+02
   103   0.278615E+04   0.817295E+00   0.343634E-02  -0.250542E+02
   104   0.281781E+04   0.831465E+00   0.350431E-02  -0.257118E+02
   105   0.284966E+04   0.845435E+00   0.357301E-02  -0.263681E+02
   106   0.288170E+04   0.859189E+00   0.364245E-02  -0.270224E+02
   107   0.291391E+04   0.872721E+00   0.371264E-02  -0.276744E+02
   108   0.294628E+04   0.886009E+00   0.378357E-02  -0.283235E+02
   109   0.297882E+04   0.899045E+00   0.385527E-02  -0.289689E+02
   110   0.301151E+04   0.911807E+00   0.392772E-02  -0.296103E+02
   111   0.304435E+04   0.924287E+00   0.400094E-02  -0.302472E+02
   112   0.307734E+04   0.936478E+00   0.407493E-02  -0.308788E+02
   113   0.311046E+04   0.948359E+00   0.414970E-02  -0.315047E+02
   114   0.314372E+04   0.959914E+00   0.422526E-02  -0.321244E+02
   115   0.317710E+04   0.971143E+00   0.430160E-02  -0.327372E+02
   116   0.321060E+04   0.982033E+00   0.437874E-02  -0.333427E+02
   117   0.324422E+04   0.992560E+00   0.445669E-02  -0.339402E+02
   118   0.327794E+04   0.100272E+01   0.453544E-02  -0.345292E+02
   119   0.331175E+04   0.101251E+01   0.461500E-02  -0.351092E+02
   120   0.334566E+04   0.102192E+01   0.469538E-02  -0.356796E+02
   121   0.337966E+04   0.103092E+01   0.477660E-02  -0.362399E+02
   122   0.341372E+04   0.103952E+01   0.485864E-02  -0.367896E+02
   123   0.344786E+04   0.104770E+01   0.494152E-02  -0.373280E+02
   124   0.348205E+04   0.105546E+01   0.502525E-02  -0.378546E+02
   125   0.351629E+04   0.106279E+01   0.510983E-02  -0.383690E+02
   126   0.355058E+04   0.106967E+01   0.519527E-02  -0.388706E+02
   127   0.358489E+04   0.107612E+01   0.528157E-02  -0.393588E+02
   128   0.361924E+04   0.108210E+01   0.536874E-02  -0.398332E+02
   129   0.365360E+04   0.108763E+01   0.545679E-02  -0.402933E+02
   130   0.368797E+04   0.109269E+01   0.554573E-02  -0.407385E+02
   131   0.372234E+04   0.109728E+01   0.563555E-02  -0.411683E+02
   132   0.375672E+04   0.110139E+01   0.572627E-02  -0.415823E+02
   133   0.379107E+04   0.110502E+01   0.581789E-02  -0.419800E+02
   134   0.382540E+04   0.110818E+01   0.591042E-02  -0.423608E+02
   135   0.385971E+04   0.111085E+01   0.600387E-02  -0.427244E+02
